Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Lucas Glover,-,MC,MC,79,-,-,MC,20,-,MC,4,6,-,-,-,-,-,-,-,-,10300,22/1,Bet 365,Further details,5
Taylor Pendrith,13^^,30,MC,-,29,-,60,65,MC,MC,14,-,-,-,-,-,-,-,11,13,10200,18/1,Bet 365,Further details,6
Peter Kuest,-,-,-,14,-,-,-,57,-,-,4,17,-,-,-,-,-,-,-,-,10000,25/1,Bet 365,Further details,MC
Kevin Streelman,-,MC,18,-,-,9,MC,-,49,MC,-,51,-,-,-,-,-,-,-,2,9900,28/1,Bet 365,Further details,MC
Vincent Norrman,9^^,18,-,8,-,48,-,MC,MC,MC,24,-,-,-,-,-,-,-,-,-,9800,25/1,Bet 365,Further details,1
Akshay Bhatia,MC^^,4,43,-,-,56,MC,68,-,-,MC,35,-,-,-,-,-,-,-,-,9500,28/1,Bet 365,Further details,9
Carl Yuan,MC^^,55,-,MC,-,-,-,18,-,MC,14,MC,-,-,-,-,-,-,-,-,9400,33/1,Bet 365,Further details,MC
Justin Lower,MC^^,-,MC,43,-,57,MC,25,-,MC,8,-,-,-,-,-,-,-,-,8,9300,40/1,Bet 365,Further details,44
Niklas Norgaard Moller,45,MC,23,-,-,21,44,21,-,59,7,35,-,-,-,-,-,-,-,27,9100,35/1,Bet 365,Further details,33
Andrew Novak,MC^^,49,-,67,-,40,-,9,-,MC,MC,42,-,-,-,-,-,-,-,-,9000,50/1,Bet 365,Further details,33
Chad Ramey,9^^,-,35,50,-,12,MC,MC,-,38,17,42,-,-,-,-,-,-,-,-,8900,50/1,Bet 365,Further details,44
Patton Kizzire,26^^,MC,MC,30,-,48,-,38,-,MC,MC,MC,-,MC,-,64,-,-,-,MC,8800,40/1,Bet 365,Further details,62
Grayson Murray,33^^,MC,-,MC,1^,MC^,3^,MC,-,41^,32^,6,-,-,-,1,-,-,MC,-,8700,28/1,Bet 365,Further details,7
Ryo Hisatsune,MC,MC,16,10,-,55,MC,27,-,-,15,8,-,-,-,-,-,-,-,-,8600,50/1,Bet 365,Further details,58
Peter Malnati,-,MC,-,-,-,29,MC,43,-,MC,9,MC,-,MC,MC,18,21,73,-,-,8500,50/1,Bet 365,Further details,52
Vincent Whaley,-,-,-,79,9^,-,MC^,72,-,-,40,MC,-,-,-,-,-,-,26,5,8400,50/1,Bet 365,Further details,MC
Marcus Helligkilde,14,2,MC,MC,-,60,52,MC,-,-,72,35,-,-,-,-,-,-,-,8,8300,35/1,Bet 365,Further details,MC
Josh Teater,MC^,MC^,-,-,9^,16^,18^,-,-,MC^,47^,-,-,77,-,-,40,6,15,63,8200,45/1,Bet 365,Further details,MC
Marty Dou Zecheng,MC^^,49,-,5,-,63,-,MC,-,52,17,MC,-,-,-,-,WD,-,-,-,8100,50/1,Bet 365,Further details,44
Harry Higgs,MC^^,MC,-,MC,-,MC,-,12,-,-,52,57,-,-,-,-,-,-,-,MC,8000,60/1,Bet 365,Further details,MC
Jayden Trey Schaper,10^,-,-,-,-,67,22,-,-,31,39,MC,-,-,-,-,-,-,-,-,7900,50/1,Bet 365,Further details,16
Kiradech Aphibarnrat,MC,MC,MC,15,-,5,MC,-,-,MC,15,MC,-,-,-,-,-,-,MC,-,7800,50/1,Bet 365,Further details,MC
Austin Smotherman,MC^^,5,MC,MC,-,21,-,50,-,MC,MC,51,-,-,-,-,-,-,-,54,7700,66/1,Bet 365,Further details,MC
Jonas Blixt,MC^^,72,-,MC,-,-,-,MC,-,-,MC^,17,-,-,-,-,-,-,-,MC,7700,75/1,Bet 365,Further details,MC
Andy Sullivan,56,10,MC,MC,-,39,39,52,-,MC,15,17,-,-,-,-,-,-,-,-,7600,66/1,Bet 365,Further details,MC
Julien Guerrier,MC,52,3,-,-,39,2,21,-,-,MC,30,-,-,-,-,-,-,-,-,7600,66/1,Bet 365,Further details,MC
Scott Piercy,MC^^,39,MC,19,-,40,-,57,-,WD,-,WD,-,1,-,-,-,-,-,-,7600,55/1,Bet 365,Further details,MC
Matthias Schmid,26^^,MC,-,MC,-,21,MC,MC,-,18,MC,MC,-,-,-,-,-,-,-,8,7500,50/1,Bet 365,Further details,44
Tyler Duncan,34^^,-,MC,MC,-,MC,-,MC,-,MC,47,61,-,-,-,-,49,MC,MC,13,7500,70/1,Bet 365,Further details,MC
Kevin Chappell,MC^^,24,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,21,7500,66/1,Bet 365,Further details,MC
Ryan Gerard,MC^^,33,MC,MC,-,MC^,-,43,56,-,56,26,-,-,-,-,-,-,-,-,7500,45/1,Bet 365,Further details,MC
James Hahn,-,49,MC,50,-,-,-,57,-,MC,MC,35,-,-,-,-,MC,-,5,27,7400,70/1,Bet 365,Further details,MC
Kevin Tway,MC^^,MC,MC,11,-,MC,-,MC,-,52,47,MC,-,-,-,-,-,-,26,50,7400,75/1,Bet 365,Further details,44
Alejandro Del Rey,-,-,47,67,-,39,39,-,MC,MC,39,65,-,-,-,-,-,-,-,-,7400,66/1,Bet 365,Further details,44
David Ford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7400,66/1,Bet 365,Further details,58
Kramer Hickok,MC^^,-,40,MC,-,21,-,MC,-,MC,MC,69,-,-,-,-,-,24,-,13,7300,80/1,Bet 365,Further details,28
Seung-Yul Noh,19^^,46,-,74,-,-,-,38,-,-,70,63,-,-,-,18,-,-,-,41,7300,75/1,Bet 365,Further details,WD
Nathan Kimsey,-,-,-,-,-,-,-,-,-,-,MC,10,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,2
Adam Long,-,18,MC,50,-,MC,MC,57,-,MC,MC,MC,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,16
Augusto Nunez,35^^,69,-,34,MC^,47^,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,7300,66/1,Bet 365,Further details,MC
Sean O'Hair,7^^,MC,-,50,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,8,7200,75/1,Bet 365,Further details,MC
Doc Redman,26^^,MC,MC,30,-,-,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,21,7200,80/1,Bet 365,Further details,9
Jonathan Byrd,MC^^,55,-,43,-,-,-,12,-,-,MC,MC,-,19,-,42,21,64,62,41,7200,80/1,Bet 365,Further details,MC
Ryan Moore,-,33,MC,MC,-,-,-,25,-,MC,64,MC,-,-,-,-,-,-,-,54,7200,90/1,Bet 365,Further details,14
Aaron Cockerill,2,21,16,10,-,-,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,60,7200,80/1,Bet 365,Further details,58
Russell Knox,MC^^,-,MC,MC,-,72,-,MC,-,49,47,57,-,-,-,-,-,-,MC,-,7200,90/1,Bet 365,Further details,33
Satoshi Kodaira,MC^,49,-,43,-,MC^,WD^,-,52^,-,40,57,-,-,-,-,-,53,20,27,7100,100/1,Bet 365,Further details,MC
Jim Herman,MC^^,-,MC,70,-,-,-,MC,-,MC,-,63,-,-,-,-,-,1,20,78,7100,75/1,Bet 365,Further details,MC
Jazz Janewattananond,9,61,57,MC,-,21,MC,27,-,MC,68,-,-,-,-,-,-,-,-,-,7100,80/1,Bet 365,Further details,MC
Marcus Kinhult,64,21,-,22,-,29,-,41,-,52,68,-,-,-,-,-,-,-,-,-,7100,80/1,Bet 365,Further details,14
Clement Sordet,-,7,9,MC,-,48,39,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,7100,90/1,Bet 365,Further details,52
Brice Garnett,MC^^,33,-,77,-,-,-,68,-,-,47,MC,-,MC,MC,-,-,18,72,MC,7100,110/1,Bet 365,Further details,33
Henrik Norlander,23^^,MC,47,34,-,MC,-,72,-,-,81,MC,-,-,47,-,-,-,5,MC,7100,100/1,Bet 365,Further details,28
Cameron Percy,MC^^,60,-,MC,-,-,-,52,-,-,MC,MC,-,-,MC,12,7,-,42,41,7000,110/1,Bet 365,Further details,16
John Axelsen,MC,MC,MC,38,-,12,6,32,-,18,MC,17,-,-,-,-,-,-,-,-,7000,100/1,Bet 365,Further details,33
Kevin Roy,MC^^,18,-,MC,-,MC^,63^,MC,-,-,MC,31,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,MC
Adrien Saddier,-,-,MC,50,-,MC,22,-,-,31,28,35,-,-,-,-,-,-,-,-,7000,110/1,Bet 365,Further details,3
Cody Gribble,MC^^,55,-,MC,-,63,-,34,-,-,MC,42,-,-,-,-,MC,29,-,-,7000,125/1,Bet 365,Further details,52
Louis de Jager,64,MC,66,MC,-,29,MC,12,-,-,MC,62,-,-,-,-,-,-,-,-,7000,90/1,Bet 365,Further details,16
Kelly Kraft,MC^^,MC,MC,79,-,-,-,MC,-,38,40,MC,-,-,54,-,-,2,-,MC,7000,125/1,Bet 365,Further details,40
Richy Werenski,MC^^,46,MC,11,-,MC,-,65,-,MC,MC,42,-,72,-,18,2,24,MC,WD,7000,125/1,Bet 365,Further details,58
Tano Goya,MC^^,60,-,50,-,MC^,MC^,-,-,-,MC,26,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,40
Andrew Landry,MC^^,-,MC,MC,-,-,-,57,-,67,64,61,-,-,MC,-,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Jeong Weon Ko,MC,10,53,15,-,MC,44,-,-,MC,77,68,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,MC
Darius Van Driel,MC,MC,MC,22,-,MC,MC,21,-,12,28,-,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,MC
Angel Hidalgo Portillo,51,MC,64,15,-,MC,33,12,-,-,65,MC,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,30
Jason Scrivener,-,-,MC,MC,-,-,WD,40,-,-,MC,MC,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,40
John Catlin,-,MC,40,38,-,MC,MC,21,-,-,MC,MC,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,MC
Trevor Cone,MC^^,70,MC,23,-,MC^,MC^,68,-,-,40,MC,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,3
Chris Stroud,MC^^,MC,-,50,-,-,-,MC,-,-,MC,63,-,32,47,35,-,-,-,27,6800,125/1,Bet 365,Further details,MC
Johannes Veerman,MC,MC,MC,-,-,76,52,44,-,-,74,10,-,-,-,-,-,-,-,-,6800,110/1,Bet 365,Further details,62
Daniel Brown,-,32,57,28,-,80,MC,-,-,MC,MC,17,-,-,-,-,-,-,-,-,6800,150/1,Bet 365,Further details,7
Robert Streb,13^^,-,MC,67,-,-,-,MC,-,MC,56,42,-,-,-,-,10,MC,-,-,6800,150/1,Bet 365,Further details,MC
JC Ritchie,-,-,32,-,-,MC,MC,-,-,31,MC,MC,-,-,-,-,-,-,-,-,6800,125/1,Bet 365,Further details,24
Masahiro Kawamura,MC,-,MC,MC,-,MC,MC,32,-,-,MC,MC,-,-,-,-,-,-,-,-,6800,110/1,Bet 365,Further details,9
Ryan Armour,MC^^,MC,56,50,-,-,-,MC,MC,-,MC,MC,-,58,20,27,-,53,5,-,6800,125/1,Bet 365,Further details,16
Sunghoon Kang,MC^^,MC,-,14,-,-,-,57,12^,WD^,-,MC,-,-,MC,-,-,-,-,MC,6800,125/1,Bet 365,Further details,67
Jason Dufner,MC^^,-,MC,MC,-,-,MC,52,-,MC,MC,31,-,-,-,-,-,18,26,27,6700,175/1,Bet 365,Further details,24
Austin Cook,MC^^,39,MC,MC,-,-,-,MC,-,-,MC,MC,-,6,-,-,-,4,47,27,6700,150/1,Bet 365,Further details,MC
Hank Lebioda,34^^,MC,-,-,-,MC^,-,MC,MC,-,64,MC,-,-,-,-,-,70,-,41,6700,125/1,Bet 365,Further details,MC
Robin Sciot-Siegrist,31,49,52,22,-,MC,-,-,-,62,MC,35,-,-,-,-,-,-,-,-,6700,200/1,Bet 365,Further details,MC
Kyle Westmoreland,MC^^,MC,-,MC,-,MC,5^,MC,-,-,78,MC,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,MC
Matthias Schwab,9^^,MC,MC,MC,-,70,-,MC,-,MC,83,MC,-,-,-,-,-,-,-,-,6700,125/1,Bet 365,Further details,MC
Mikael Lindberg,MC,WD,-,MC,-,12,MC,MC,-,18,23,MC,-,-,-,-,-,-,-,-,6700,125/1,Bet 365,Further details,52
Andrew Wilson,-,35^,-,10,-,MC,52,-,-,MC,57,49,-,-,-,-,-,-,-,WD,6700,125/1,Bet 365,Further details,MC
Michael Gligic,13^^,39,-,MC,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,19,21,6600,150/1,Bet 365,Further details,62
Scott Brown,MC^^,MC,-,MC,MC^,MC^,15^,65,-,WD^,MC^,MC,-,-,-,-,21,-,MC,54,6600,225/1,Bet 365,Further details,MC
Santiago Tarrio Ben,MC,70,16,50,-,MC,20,MC,-,MC,77,MC,-,-,-,-,-,-,-,60,6600,150/1,Bet 365,Further details,MC
Ryan Brehm,-,-,-,64,-,-,-,MC,-,MC,81,MC,-,-,-,MC,-,-,53,81,6600,200/1,Bet 365,Further details,24
Daan Huizing,-,-,-,-,-,29,59,-,-,7,MC,10,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,MC
Deon Germishuys,9,61,MC,15,-,3,66,-,MC,MC,57,MC,-,-,-,-,-,-,-,-,6600,125/1,Bet 365,Further details,MC
Scott Harrington,MC^^,MC,-,50,-,-,37^,MC,-,-,MC,MC,-,-,-,-,-,-,53,-,6600,150/1,Bet 365,Further details,44
Martin Trainer,9^^,MC,-,MC,-,-,-,72,-,-,MC,MC,-,-,-,-,-,-,MC,MC,6600,200/1,Bet 365,Further details,62
Frederik Schott,MC,MC,40,MC,-,55,14,-,-,MC,MC,10,-,-,-,-,-,-,-,-,6500,175/1,Bet 365,Further details,MC
David Ravetto,70,MC,40,67,-,16,MC,-,-,MC,MC,24,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,9
Bryce Easton,MC,MC,23,MC,-,MC,14,-,-,43,57,35,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,MC
Jens Dantorp,MC,MC,47,2,-,MC,MC,-,MC,-,MC,45,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,MC
Alexander Levy,56,32,47,MC,-,MC,MC,44,-,52,34,49,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,9
James Morrison,MC,52,MC,7,-,39,-,59,-,MC,28,MC,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,MC
Paul Haley II,MC^^,MC,MC,MC,-,5,-,MC,MC,MC,83,MC,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,MC
Trevor Werbylo,MC^^,30,-,MC,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,MC
SangMoon Bae,MC^^,14,-,43,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,WD,MC,6500,175/1,Bet 365,Further details,MC
William McGirt,MC^^,MC,-,64,-,-,MC,MC,-,-,-,MC,-,-,-,-,12,-,-,50,6400,225/1,Bet 365,Further details,30
Sebastian Garcia Rodriguez,-,-,MC,MC,-,MC,MC,MC,-,MC,23,MC,-,-,-,-,-,-,-,68,6400,200/1,Bet 365,Further details,MC
Soren Kjeldsen,64,32,69,33,-,MC,74,5,-,52,MC,24,-,-,-,-,-,-,-,74,6400,250/1,Bet 365,Further details,MC
Geoff Ogilvy,MC^^,39,-,MC,-,-,-,MC,-,-,-,42,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,MC
Todd Clements,MC,MC,26,33,-,21,MC,-,-,MC,MC,62,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,MC
Brandon Matthews,7^^,MC,-,MC,-,-,-,MC,-,-,MC,68,-,-,-,-,-,-,-,-,6400,200/1,Bet 365,Further details,MC
Nick Watney,19^^,MC,MC,MC,-,-,-,MC,-,MC,56,MC,-,-,-,-,-,-,37,-,6400,250/1,Bet 365,Further details,MC
Bo Hoag,53^,MC^,-,-,37^,MC^,MC,-,-,MC^,MC^,-,-,-,-,-,-,-,11,MC,6400,250/1,Bet 365,Further details,40
Wesley Bryan,33^^,MC,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,MC,6400,275/1,Bet 365,Further details,24
Greg Chalmers,MC^^,MC,-,70,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,31,47,6300,250/1,Bet 365,Further details,66
Stephen Stallings,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,75,78,6300,225/1,Bet 365,Further details,MC
Alexander Knappe,35,MC,MC,MC,-,MC,MC,44,-,MC,MC,MC,-,-,-,-,-,-,-,-,6300,200/1,Bet 365,Further details,MC
Martin Leth Simonsen,MC,MC,MC,MC,-,MC,MC,-,-,MC,57,MC,-,-,-,-,-,-,-,-,6300,250/1,Bet 365,Further details,MC
Tyson Alexander,MC^^,MC,MC,MC,-,MC,-,MC,-,MC,MC,MC,-,-,-,-,MC,-,-,-,6300,400/1,Bet 365,Further details,33
Joshua Lee,-,38,MC,65,-,55,72,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,6300,TBC,Bet 365,Further details,MC
D.J. Trahan,MC^^,MC,-,MC,-,-,-,-,-,-,-,-,-,78,47,52,34,6,MC,MC,6300,300/1,Bet 365,Further details,MC
Max McGreevy,MC^^,MC,MC,MC,-,-,-,MC,MC^,MC,MC,MC,-,-,-,-,-,-,-,13,6200,300/1,Bet 365,Further details,52
Pedro Figueiredo,-,-,57,22,-,MC,14,-,-,26,MC,65,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Jeff Overton,MC^,-,-,-,MC^,MC^,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,6200,TBC,Bet 365,Further details,MC
Kyle Stanley,MC^^,MC,-,MC,-,-,-,MC,MC^,-,MC,MC,-,23,54,-,-,-,-,-,6200,750/1,Bet 365,Further details,MC
Oliver Hundeboll Jorgensen,35,MC,MC,MC,-,MC,MC,-,-,DQ,MC,MC,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Thomas Aiken,-,-,-,41,-,MC,MC,-,-,MC,49,49,-,-,35,-,-,-,-,-,6200,TBC,Bet 365,Further details,MC
Brian Stuard,MC^^,MC,-,MC,-,-,-,MC,-,-,MC,51,-,MC,-,MC,21,MC,15,MC,6200,500/1,Bet 365,Further details,33
Ted Potter Jr.,-,MC,-,MC,-,-,-,25,-,-,-,-,-,-,-,-,-,24,47,MC,6200,400/1,Bet 365,Further details,52
Derek Lamely,MC^^,66,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,MC,6200,1000/1,Bet 365,Further details,MC
Ricky Barnes,MC^^,MC,-,MC,-,-,-,MC,-,-,-,MC,-,3,35,15,49,45,62,MC,6200,350/1,Bet 365,Further details,MC
Tommy Gainey,12^,MC,-,34,37^,47^,37^,MC,WD^,-,-,MC,-,MC,-,MC,MC,39,MC,MC,6200,400/1,Bet 365,Further details,16
Ben Crane,-,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,44,-,-,-,MC,63,6100,500/1,Bet 365,Further details,MC
J.J. Henry,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,15,MC,58,74,6100,1250/1,Bet 365,Further details,MC
Jeremy Freiburghaus,-,-,MC,MC,-,79,MC,MC,-,69,MC,45,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Trey Cox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Wes Homan,-,-,-,-,-,MC^,-,-,-,-,-,-,-,36,MC,MC,-,-,-,-,6100,750/1,Bet 365,Further details,MC
John Parry,61,MC,MC,MC,-,77,29,-,-,MC,57,MC,-,-,-,-,-,-,-,-,6100,400/1,Bet 365,Further details,MC
Manu Gandas,-,MC,MC,41,-,MC,MC,-,-,43,MC,MC,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Brian Davis,-,MC,-,-,-,-,-,-,MC^,-,MC^,-,-,MC,-,-,68,MC,-,MC,6100,TBC,Bet 365,Further details,MC
Robert Garrigus,MC^^,-,-,MC,-,-,-,-,-,-,-,-,-,MC,11,10,66,64,31,MC,6100,600/1,Bet 365,Further details,MC
Derek Ernst,MC^^,60,-,MC,-,-,-,MC,-,-,-,MC,-,MC,80,-,-,MC,37,MC,6100,750/1,Bet 365,Further details,MC
Bo Van Pelt,MC^,MC^,-,MC,MC^,MC^,MC^,-,MC^,MC^,MC^,-,-,MC,-,-,-,-,31,27,6000,600/1,Bet 365,Further details,44
David Hearn,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,20,27,MC,45,20,68,6000,1000/1,Bet 365,Further details,MC
Richard S. Johnson,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,68,6000,1250/1,Bet 365,Further details,MC
Jesse Massie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Jesse Mueller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1250/1,Bet 365,Further details,MC
Ryuji Imada,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Christoffer Bring,MC,MC,MC,MC,-,MC,MC,-,-,76,MC,MC,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,16
Kevin Stadler,MC^^,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6000,2500/1,Bet 365,Further details,MC
Omar Uresti,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,54,MC,WD,MC,MC,MC,6000,2500/1,Bet 365,Further details,MC
D.A. Points,MC^^,MC,-,MC,-,-,-,-,-,-,-,MC,-,72,73,-,40,-,MC,MC,6000,1250/1,Bet 365,Further details,MC
MJ Daffue,26^^,MC,47,MC,-,MC,MC,38,-,-,24,35,-,-,-,-,-,-,62,-,-,40/1,Bet 365,Further details,16
Chad Campbell,MC^,-,-,-,MC^,-,-,-,-,-,-,-,-,48,35,18,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Daniel Chopra,-,-,-,-,-,-,-,-,MC^,-,-,-,-,MC,-,-,MC,53,MC,-,-,TBC,Bet 365,Further details,MC
Duffy Waldorf,33^,58^,64^,57^,-,WD^,62^,51^,-,42^,-,-,-,23,-,MC,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Heath Slocum,-,MC^,-,-,-,MC^,MC^,-,-,MC^,-,-,-,MC,MC,MC,21,75,-,-,-,TBC,Bet 365,Further details,NR
Joe Durant,WD^,42^,30^,18^,-,MC^,45^,4^,-,2^,12^,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
K.J. Choi,48^,48^,41^,-,19^,26^,MC,11^,-,33^,11^,-,-,-,20,35,-,-,75,-,-,TBC,Bet 365,Further details,NR
Chris Nido,-,-,-,-,-,33^,13^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,30
Maxwell Moldovan,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Chip McDaniel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,68,-,-,-,TBC,Bet 365,Further details,MC
Matt Sharpstene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Matt Every,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,MC,-,WD,WD,-,TBC,Bet 365,Further details,MC