Player,12,11,10,9,8,7,6,5,4,3,2,1,-,1,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Danny Willett,9,-,-,-,-,MC,45,-,47,MC,-,42,-,42,-,-,-,-,-,8,36,-,-,100/1,Bet 365,Further details
Chan Kim,42,-,MC,-,17,32,16,MC,MC,39,5,-,-,-,-,-,-,-,-,-,-,-,6,28/1,Bet 365,Further details
Chad Ramey,48,-,MC,-,34,MC,26,MC,MC,47,5,-,-,-,-,-,-,-,-,-,1,WD,50,55/1,Bet 365,Further details
Thorbjorn Olesen,27,MC,-,-,49,MC,-,-,36,MC,5,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Henrik Norlander,MC,-,MC,-,13,MC,40,MC,16,MC,12,-,-,-,-,-,-,-,MC,-,-,22,36,40/1,Bet 365,Further details
Alejandro Tosti,MC,-,-,-,10,68,MC,MC,MC,5,12,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Keith Mitchell,-,33,25,-,-,42,-,MC,54,18,12,-,-,-,MC,-,2,-,61,-,-,-,-,16/1,Bet 365,Further details
Nate Lashley,WD,-,MC,-,MC,MC,-,MC,64,27,12,-,-,-,-,1,28,MC,4,28,15,-,MC,55/1,Bet 365,Further details
Chandler Phillips,70,-,49,-,34,MC,-,61,42,32,18,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
Emiliano Grillo,WD,-,76,-,65,MC,-,67,22,47,18,-,-,-,-,-,50,-,21,6,MC,70,-,45/1,Bet 365,Further details
Harry Hall,-,58,MC,-,34,MC,-,MC,54,18,26,-,-,-,-,-,-,-,-,-,-,13,-,20/1,Bet 365,Further details
Matt Wallace,MC,-,44,-,MC,MC,26,-,MC,MC,26,-,-,-,-,-,-,-,-,-,-,1,-,33/1,Bet 365,Further details
Harry Higgs,63,-,-,-,74,MC,26,-,MC,MC,30,-,-,-,-,-,-,-,-,-,-,38,43,110/1,Bet 365,Further details
Quade Cummins,MC,-,-,-,32,32,16,-,MC,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Steven Fisk,63,-,MC,-,17,MC,4,-,28,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
William Mouw,66,-,-,-,MC,MC,6,-,MC,47,33,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Benjamin Griffin,MC,69,36,44,4,4,45,MC,MC,18,40,-,-,-,-,-,-,-,-,-,-,-,14,16/1,Bet 365,Further details
Lanto Griffin,9,-,MC,-,25,-,72,MC,MC,MC,40,-,-,-,-,MC,28,-,-,-,-,-,36,80/1,Bet 365,Further details
Kevin Roy,WD,-,-,-,17,MC,6,MC,MC,MC,40,-,-,-,-,-,-,-,-,-,-,50,-,60/1,Bet 365,Further details
Carson Young,MC,-,57,-,MC,MC,10,54,-,-,40,-,-,-,-,-,-,-,-,-,-,38,MC,60/1,Bet 365,Further details
Adam Svensson,MC,-,36,-,59,MC,MC,MC,MC,67,47,-,-,-,MC,6,-,MC,-,-,MC,-,-,66/1,Bet 365,Further details
Aldrich Potgieter,15,-,-,-,2,-,MC,MC,MC,MC,47,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Ben Martin,-,40^,MC,-,45,MC,-,-,MC,MC,52,-,-,-,-,-,-,-,52,9,2,8,55,70/1,Bet 365,Further details
John Pak,56,-,-,-,17,-,MC,-,64,69,52,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Matthew Riedel,MC,-,-,-,MC,65,26,-,MC,61,52,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Mac Meissner,52,-,MC,-,MC,MC,-,42,28,39,52,-,-,-,-,-,-,-,-,-,-,-,MC,55/1,Bet 365,Further details
Noah Goodwin,63,-,-,-,49,-,12,-,42,MC,56,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Erik Van Rooyen,MC,40,MC,-,59,9,-,MC,-,-,62,-,-,-,-,-,-,-,-,-,-,56,-,50/1,Bet 365,Further details
Taylor Dickson,MC,-,-,-,MC,MC,MC,-,MC,39,65,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Bill Haas,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,44,24,18,350/1,Bet 365,Further details
Sean O'Hair,MC^,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,14,-,50,29,18,400/1,Bet 365,Further details
Chez Reavie,-,-,MC,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,175/1,Bet 365,Further details
James Hahn,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,63,175/1,Bet 365,Further details
Troy Merritt,MC,MC,MC,-,MC,37,MC,-,MC,17,-,-,-,-,-,-,35,-,-,34,-,-,67,250/1,Bet 365,Further details
Erik Compton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,29,70,750/1,Bet 365,Further details
Ben Polland,-,-,-,-,-,62,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Bo Hoag,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,54,-,-,1000/1,Bet 365,Further details
Brandt Snedeker,32,-,66,-,-,MC,10,-,57,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Chesson Hadley,-,MC^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,13,MC,MC,-,200/1,Bet 365,Further details
Connor Doyal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Cougar Collins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,3000/1,Bet 365,Further details
David Hearn,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,50,18,33,13,MC,MC,-,TBC,Bet 365,Further details
Dylan Frittelli,50,MC,MC,-,-,63,4,-,28,-,-,-,-,-,-,-,-,18,-,-,-,-,-,TBC,Bet 365,Further details
Enrique Valverde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
J.B. Holmes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,TBC,Bet 365,Further details
Jason Dufner,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,28,58,-,500/1,Bet 365,Further details
Manuel Torres,MC^,-,-,-,-,4^,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Nicholas Thompson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WD,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Rodrigo Huerta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Stephen Stallings Jr.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,62,-,1500/1,Bet 365,Further details
Taylor Montgomery,MC,-,69,-,45,25,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Taylor Moore,56,22,9,-,34,42,-,33,MC,-,-,-,-,-,-,49,-,-,-,-,-,-,-,22/1,Bet 365,Further details
Thomas Aiken,22,MC,MC,-,60,25,52,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Zac Blair,32,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,70,-,-,-,-,125/1,Bet 365,Further details
Brian Stuard,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,33,69,7,MC,MC,400/1,Bet 365,Further details
Carl Yuan,MC,MC^,-,-,-,-,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,350/1,Bet 365,Further details
Cody Gribble,MC^,MC^,72^,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,50,MC,750/1,Bet 365,Further details
George McNeill,WD^,-,MC^,-,-,-,45,-,-,-,-,-,-,-,-,-,13,7,41,MC,MC,62,MC,1000/1,Bet 365,Further details
Hayden Springer,6,-,MC,-,45,-,34,42,-,15,-,-,-,-,-,-,-,-,-,-,-,-,MC,40/1,Bet 365,Further details
Hiram Silfa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,MC,MC,MC,4000/1,Bet 365,Further details
Jim Herman,-,MC^,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,MC,TBC,Bet 365,Further details
Jonathan Byrd,-,-,-,-,49,-,MC,-,-,-,-,-,-,-,-,30,54,4,28,63,36,16,MC,300/1,Bet 365,Further details
Juan Jose Guerra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,4000/1,Bet 365,Further details
Justin Hicks,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,2500/1,Bet 365,Further details
Kyle Stanley,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,28,-,MC,-,MC,2000/1,Bet 365,Further details
Ricky Barnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,MC,41,MC,MC,7,MC,750/1,Bet 365,Further details
Sunghoon Kang,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,38,MC,TBC,Bet 365,Further details
Patrick Flavin,-,-,-,-,-,-,-,-,-,8^,20^,-,-,-,-,-,-,-,-,-,54,-,-,175/1,Bet 365,Further details
Theo Humphrey,-,-,MC^,-,-,-,-,-,-,5^,20^,-,-,-,-,-,-,MC,-,-,-,-,-,450/1,Bet 365,Further details
Austin Cook,MC^,11^,49^,-,-,-,16,-,-,-,23^,-,-,-,41,MC,-,-,-,-,58,13,MC,160/1,Bet 365,Further details
Garrick Higgo,42,-,26^,-,-,-,12,-,-,-,3^,-,-,-,-,-,-,-,-,-,-,-,MC,40/1,Bet 365,Further details
Russell Knox,2^,MC^,-,-,-,53^,MC,-,-,-,3^,-,-,-,-,-,-,-,-,-,-,58,MC,90/1,Bet 365,Further details
Matthew NeSmith,MC,22^,39^,-,-,-,MC,-,-,-,31^,-,-,-,-,-,-,-,41,-,-,-,43,125/1,Bet 365,Further details
Pierceson Coody,MC,9^,2^,-,-,MC,40,-,-,52,31^,-,-,-,-,-,-,-,-,-,-,-,18,35/1,Bet 365,Further details
Joseph Bramlett,MC,22^,-,-,-,29^,3,-,MC,-,31^,-,-,-,-,-,-,-,41,13,-,-,MC,45/1,Bet 365,Further details
Willy Pumarol,-,-,-,-,-,-,-,-,-,60^,37^,-,-,-,-,69,MC,-,65,MC,MC,-,MC,2000/1,Bet 365,Further details
Adam Long,MC^,MC^,MC^,-,-,68^,MC,-,-,-,41^,-,-,-,MC,8,-,-,5,-,-,MC,43,TBC,Bet 365,Further details
Fabian Gomez,19^,49^,33^,-,-,MC^,49^,-,-,5^,53^,-,-,-,-,-,22,MC,41,56,MC,MC,-,250/1,Bet 365,Further details
Nick Watney,MC^,-,-,-,-,MC^,34,-,-,-,53^,-,-,-,-,-,-,-,-,MC,-,-,MC,1000/1,Bet 365,Further details
Seung-yul Noh,27^,35^,19^,-,-,MC^,MC^,-,WD,-,56^,-,-,-,-,-,-,-,-,-,-,38,-,80/1,Bet 365,Further details
Ryan Armour,MC^,MC^,59^,-,-,-,MC,-,-,-,60^,-,-,-,MC,-,-,-,MC,-,15,-,67,400/1,Bet 365,Further details
Cameron Champ,40^,MC^,19^,-,-,MC^,16,-,-,-,60^,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Charley Hoffman,25,-,MC,-,MC,25,-,54,-,64,MC,-,-,-,-,-,-,-,14,34,-,MC,4,33/1,Bet 365,Further details
Justin Lower,MC,62,-,-,MC,MC,-,38,MC,MC,MC,-,-,-,-,-,-,-,-,-,15,MC,4,40/1,Bet 365,Further details
Alex Smalley,MC,-,21,-,10,18,-,14,MC,MC,MC,-,-,-,-,-,-,-,14,22,2,-,6,18/1,Bet 365,Further details
Greyson Sigg,9,-,32,-,17,64,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,9,25,-,9,50/1,Bet 365,Further details
Matthias Schmid,25,-,MC,-,MC,18,6,MC,28,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,11,45/1,Bet 365,Further details
Vincent Whaley,32,-,MC,-,MC,32,16,MC,MC,MC,MC,-,-,-,-,-,-,-,28,28,28,-,23,45/1,Bet 365,Further details
Rico Hoey,MC,-,MC,-,MC,25,26,33,MC,11,MC,-,-,-,-,-,-,-,-,-,-,-,33,33/1,Bet 365,Further details
Mark Hubbard,68,73,MC,MC,-,MC,-,MC,47,MC,MC,-,-,-,-,-,-,-,-,-,MC,29,36,66/1,Bet 365,Further details
Joel Dahmen,9,-,MC,-,6,32,-,54,MC,18,MC,-,-,-,11,-,13,12,-,1,WD,50,67,40/1,Bet 365,Further details
Aaron Baddeley,32,-,-,-,34,-,MC,-,78,MC,MC,-,-,-,-,-,-,7,MC,48,MC,46,-,400/1,Bet 365,Further details
Andrew Putnam,32,-,25,-,49,11,-,MC,MC,-,MC,-,-,-,MC,-,5,-,-,-,-,-,-,55/1,Bet 365,Further details
Braden Thornberry,-,-,-,-,MC,MC,MC,-,70,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Cristobal Del Solar,66,-,-,-,MC,MC,54,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Danny Walker,42,-,-,-,13,-,64,6,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,90/1,Bet 365,Further details
David Skinns,MC,-,49,-,MC,MC,-,MC,MC,52,MC,-,-,-,-,MC,-,-,-,-,MC,-,-,300/1,Bet 365,Further details
Frankie Capan III,56,-,MC,-,55,MC,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Jackson Suber,56,-,-,-,MC,42,-,MC,MC,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Jeremy Paul,MC,-,-,-,25,MC,16,-,22,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Kaito Onishi,MC,-,-,-,MC,-,MC,-,42,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Kevin Kisner,-,-,MC,-,-,MC,-,-,70,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Kevin Velo,MC,-,-,-,MC,MC,40,-,57,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,275/1,Bet 365,Further details
Kristoffer Ventura,4,-,49,-,25,56,-,MC,77,MC,MC,-,-,-,-,-,-,-,52,MC,-,-,-,100/1,Bet 365,Further details
Luke List,56,-,36,-,MC,MC,-,MC,64,MC,MC,-,-,-,-,-,-,-,8,WD,-,-,-,80/1,Bet 365,Further details
Martin Laird,MC,-,-,-,-,-,68,-,-,-,MC,-,-,-,-,-,-,-,65,-,-,-,-,125/1,Bet 365,Further details
Mason Andersen,MC,-,-,-,65,MC,26,-,70,61,MC,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Max Mcgreevy,WD,-,MC,-,25,4,40,20,54,MC,MC,-,-,-,-,-,-,-,-,-,MC,50,-,40/1,Bet 365,Further details
Michael Thorbjornsen,MC,-,74,-,MC,39,MC,-,MC,39,MC,-,-,-,-,-,-,-,-,-,-,-,-,55/1,Bet 365,Further details
Paul Peterson,WD,-,-,-,MC,MC,12,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,225/1,Bet 365,Further details
Paul Waring,WD,-,MC,-,MC,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Philip Knowles,WD,MC^,-,-,MC,-,16,-,MC,64,MC,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Ricky Castillo,15,-,-,-,55,56,64,MC,12,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,40/1,Bet 365,Further details
Rikuya Hoshino,MC,-,-,-,MC,48,64,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Ryan Fox,27,-,63,-,MC,MC,-,20,47,15,MC,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Seamus Power,-,17,36,24,-,MC,-,MC,8,MC,MC,-,-,-,7,-,5,44,MC,54,-,-,-,28/1,Bet 365,Further details
Takumi Kanaya,MC,-,MC,-,32,-,34,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Thomas Rosenmueller,MC,-,-,-,68,MC,59,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Tim Widing,MC,-,-,-,MC,MC,45,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Trevor Cone,MC,-,-,-,MC,-,54,-,MC,52,MC,-,-,-,-,-,-,-,-,-,-,MC,-,250/1,Bet 365,Further details
Will Chandler,MC,-,6,-,MC,MC,MC,61,69,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Ben Kohles,-,-,MC,-,25,MC,34,MC,MC,MC,MC,-,-,-,MC,41,-,-,-,-,28,-,MC,100/1,Bet 365,Further details
Christopher Gotterup,25,-,MC,-,MC,MC,16,MC,MC,18,MC,-,-,-,-,-,-,-,-,-,-,-,MC,50/1,Bet 365,Further details
David Lipsky,WD,-,MC,-,76,MC,78,MC,57,MC,MC,-,-,-,-,-,-,22,-,-,7,-,MC,175/1,Bet 365,Further details
Hayden Buckley,WD,-,-,-,MC,-,59,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,13,-,MC,300/1,Bet 365,Further details
Nick Hardy,MC,-,MC,-,MC,MC,64,-,MC,MC,MC,-,-,-,-,-,-,MC,-,-,MC,13,MC,110/1,Bet 365,Further details
Kevin Tway,52,-,-,-,-,-,68,-,MC,-,MC^,-,-,-,11,-,28,-,41,-,-,38,3,100/1,Bet 365,Further details
Robert Streb,MC^,MC^,68^,-,-,MC^,MC,-,-,-,MC^,-,-,-,-,-,MC,MC,21,-,-,-,59,750/1,Bet 365,Further details
Scott Piercy,MC^,-,-,-,55,-,MC,-,-,-,MC^,-,-,-,-,-,60,-,-,-,-,29,59,175/1,Bet 365,Further details
Ben Crane,-,-,-,-,-,-,MC,-,-,-,MC^,-,-,-,-,-,45,33,-,-,-,58,-,TBC,Bet 365,Further details
Brandon Matthews,-,MC^,MC^,-,-,MC^,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,35,-,2000/1,Bet 365,Further details
Dylan Wu,MC,2^,MC^,-,-,MC,45,-,-,-,MC^,-,-,-,-,-,-,-,-,-,56,16,-,125/1,Bet 365,Further details
Sam Choi,-,-,-,-,-,-,-,-,-,30^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Jeff Overton,-,-,-,-,-,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,MC,MC,2500/1,Bet 365,Further details
Kevin Chappell,27^,WD^,-,-,-,-,MC,-,-,-,MC^,-,-,-,-,-,-,-,MC,-,15,16,MC,125/1,Bet 365,Further details
Tommy Gainey,MC^,WD^,-,-,-,-,75,-,-,-,MC^,-,-,-,-,MC,22,MC,73,-,MC,MC,MC,1000/1,Bet 365,Further details
Tyler Duncan,26^,17^,MC^,-,-,7^,26,-,-,-,MC^,-,-,-,33,3,MC,59,-,48,28,3,MC,80/1,Bet 365,Further details
Rafael Campos,MC,-,MC,-,34,MC,MC,MC,70,MC,47,MC,-,MC,MC,3,MC,MC,MC,2,28,38,14,125/1,Bet 365,Further details