Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ludvig Aberg,-,-,4,1,-,10,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11200,9/1,Bet 365,Further details,10
Cameron Young,31,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10900,14/1,Bet 365,Further details,54
Sahith Theegala,13,15,-,-,-,1,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,10700,14/1,Bet 365,Further details,MC
Stephan Jaeger,20,-,-,-,-,45,-,-,25,-,-,-,-,-,-,-,-,-,MC,16,-,-,MC,-,10200,25/1,Bet 365,Further details,45
Lucas Glover,1,22,20,-,-,-,-,-,-,-,-,-,-,-,65,MC,-,-,-,-,-,5,-,38,10100,25/1,Bet 365,Further details,59
Beau Hossler,20,-,-,-,-,30,-,-,28,7,2,-,-,-,-,-,-,-,34,MC,41,MC,-,38,9900,28/1,Bet 365,Further details,15
Emiliano Grillo,20,31,29,-,-,-,-,-,MC,MC,10,-,-,-,-,-,-,10,9,15,41,8,MC,42,9700,28/1,Bet 365,Further details,MC
Thomas Detry,61,-,-,-,23,33,35,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,22,15,9600,30/1,Bet 365,Further details,38
J.J Spaun,24,-,-,-,-,11,-,-,-,46,6,-,-,-,-,-,-,28,14,3,80,65,27,15,9400,30/1,Bet 365,Further details,67
Adam Svensson,37,15,-,-,-,-,-,-,16,18,41,-,-,-,-,-,-,-,-,MC,-,-,45,MC,9300,35/1,Bet 365,Further details,45
Akshay Bhatia,-,-,-,-,-,MC,-,-,43,35,21,-,-,-,-,-,-,-,-,-,-,52,-,-,9200,33/1,Bet 365,Further details,10
Chris Kirk,16,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,48,33,46,64,64,9100,35/1,Bet 365,Further details,MC
Luke List,-,-,-,-,-,25,-,-,1,18,-,-,-,-,-,-,MC,7,MC,MC,MC,MC,MC,-,9000,35/1,Bet 365,Further details,45
Justin Suh,-,-,-,24,-,30,-,-,-,56,10,-,-,-,-,-,-,-,-,-,-,-,-,48,8900,35/1,Bet 365,Further details,4
Keith Mitchell,43,-,-,-,-,-,-,-,MC,-,21,-,-,-,-,-,-,-,68,65,MC,70,56,MC,8800,35/1,Bet 365,Further details,38
Matt Kuchar,61,-,-,-,-,7,-,-,67,-,19,-,-,-,-,-,68,-,-,1,14,-,22,27,8700,40/1,Bet 365,Further details,2
Mark Hubbard,66,-,-,-,-,17,-,-,6,MC,31,-,-,-,-,49,77,MC,-,-,58,59,-,MC,8500,45/1,Bet 365,Further details,MC
Lucas Herbert,-,-,-,-,-,30,-,-,28,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,8400,40/1,Bet 365,Further details,31
Davis Thompson,-,-,-,-,-,30,-,-,16,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8300,40/1,Bet 365,Further details,15
Christopher Gotterup,14^,16^,21^,-,-,5^,37^,-,20^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8200,50/1,Bet 365,Further details,MC
Andrew Putnam,24,10,-,-,-,MC,-,-,-,MC,-,-,-,-,-,62,-,-,MC,-,-,MC,64,48,8100,45/1,Bet 365,Further details,5
Taylor Pendrith,-,-,-,-,-,MC,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,8000,45/1,Bet 365,Further details,15
Taylor Montgomery,37,-,-,-,-,MC,-,-,-,35,16,-,-,-,-,-,-,-,-,-,-,-,-,10,7900,50/1,Bet 365,Further details,31
Benjamin Griffin,24,-,-,-,-,-,-,-,2,MC,64,-,-,-,-,-,-,-,-,-,-,-,-,59,7900,45/1,Bet 365,Further details,23
KyoungHoon Lee,-,-,-,-,-,14,-,-,MC,7,41,-,-,-,-,-,-,-,-,29,MC,59,-,42,7800,60/1,Bet 365,Further details,54
Cameron Champ,-,-,-,-,-,MC,-,-,9,18,59,-,-,-,-,-,-,-,MC,10,33,-,-,MC,7800,50/1,Bet 365,Further details,45
Davis Riley,43,-,-,-,-,-,-,-,MC,28,31,-,-,-,-,-,-,-,-,-,-,-,MC,21,7700,50/1,Bet 365,Further details,MC
Doug Ghim,-,-,-,-,-,17,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,46,27,MC,7700,55/1,Bet 365,Further details,15
Callum Tarren,-,-,-,-,-,7,-,-,43,23,31,-,-,-,-,-,-,-,-,-,-,-,-,MC,7600,60/1,Bet 365,Further details,MC
Sam Ryder,31,-,-,-,-,14,-,-,51,28,64,-,-,-,-,-,-,-,MC,54,66,MC,MC,8,7600,66/1,Bet 365,Further details,10
Chesson Hadley,-,-,-,-,-,62,-,-,35,7,-,-,-,-,MC,-,-,-,WD,-,-,MC,-,-,7600,66/1,Bet 365,Further details,7
Michael Kim,-,-,-,-,-,-,-,-,-,18,41,-,-,-,-,-,51,MC,-,-,MC,MC,-,MC,7500,80/1,Bet 365,Further details,23
Maverick McNealy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,12,11,10,7500,60/1,Bet 365,Further details,MC
Vincent Whaley,-,-,-,-,-,25,-,-,28,13,-,-,-,-,-,-,-,-,-,-,-,23,64,-,7500,75/1,Bet 365,Further details,59
Nick Hardy,49,-,-,-,-,MC,-,-,35,55,41,-,-,-,-,-,-,-,-,-,-,-,-,21,7400,70/1,Bet 365,Further details,23
Joel Dahmen,-,-,-,-,-,MC,-,-,13,7,59,-,-,-,-,-,-,-,23,41,6,20,45,3,7400,66/1,Bet 365,Further details,NR
Chad Ramey,-,-,-,-,-,19,-,-,16,46,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7400,80/1,Bet 365,Further details,NR
Erik Van Rooyen,-,-,-,8,16,30,-,-,16,23,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7400,70/1,Bet 365,Further details,1
Brandon Wu,37,-,-,-,-,-,-,-,62,-,51,-,-,-,-,-,-,-,-,-,55,-,-,32,7300,80/1,Bet 365,Further details,54
Austin Eckroat,-,-,-,-,-,MC,-,-,-,MC,68,-,-,-,-,-,-,-,-,-,-,12,-,38,7300,60/1,Bet 365,Further details,23
Greyson Sigg,-,-,-,-,-,25,-,-,MC,28,-,-,-,-,-,-,-,-,-,-,-,-,33,42,7300,80/1,Bet 365,Further details,MC
Peter Kuest,-,-,-,-,-,MC,-,-,25,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,75/1,Bet 365,Further details,MC
Matthias Schmid,-,-,MC,24,79,MC,-,-,MC,26,2,-,-,-,-,-,-,-,-,-,-,-,-,MC,7200,100/1,Bet 365,Further details,38
Nate Lashley,-,-,-,-,-,30,-,-,MC,42,41,-,-,-,-,-,-,-,MC,-,-,38,MC,MC,7200,90/1,Bet 365,Further details,10
Lanto Griffin,20^,MC^,-,-,-,MC,-,-,28,13,-,-,-,-,-,-,-,-,61,-,76,-,-,-,7200,90/1,Bet 365,Further details,54
Troy Merritt,-,-,-,-,-,7,-,-,9,64,-,-,-,-,-,-,-,-,MC,-,-,40,15,3,7200,100/1,Bet 365,Further details,65
Tyler Duncan,-,-,-,-,-,MC,-,-,16,18,-,-,-,-,-,-,-,-,50,38,48,23,45,MC,7200,80/1,Bet 365,Further details,NR
Harry Hall,-,-,-,-,-,45,-,-,MC,26,21,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,100/1,Bet 365,Further details,MC
Mackenzie Hughes,58,-,-,-,-,52,-,-,MC,-,48,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,7100,90/1,Bet 365,Further details,7
Kevin Yu,-,-,-,-,-,MC,-,-,MC,MC,59,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,125/1,Bet 365,Further details,MC
C.T. Pan,-,-,-,-,-,MC,-,-,9,WD,-,-,-,-,-,-,-,46,55,16,11,-,45,MC,7100,80/1,Bet 365,Further details,MC
Henrik Norlander,-,-,-,-,-,MC,-,-,2,35,-,-,-,-,-,-,46,-,-,-,41,MC,45,15,7100,110/1,Bet 365,Further details,MC
William Gordon,-,-,-,-,-,MC,-,-,MC,MC,21,-,-,-,-,-,-,-,-,-,55,MC,-,3,7000,90/1,Bet 365,Further details,15
David Lipsky,-,-,-,-,-,30,-,-,51,MC,51,-,-,-,-,-,-,-,-,-,-,-,MC,10,7000,125/1,Bet 365,Further details,MC
Hayden Buckley,52,-,-,-,-,-,-,-,MC,64,72,-,-,-,-,-,-,-,-,-,-,-,-,59,7000,100/1,Bet 365,Further details,59
Kevin Streelman,-,-,-,-,-,56,-,-,MC,MC,-,-,-,-,-,-,34,4,20,MC,MC,32,MC,MC,7000,100/1,Bet 365,Further details,NR
Martin Laird,-,-,-,-,-,19,-,-,56,MC,-,-,-,-,-,-,40,13,-,MC,MC,-,22,15,7000,125/1,Bet 365,Further details,31
Ryan Moore,-,-,-,-,-,45,-,-,MC,13,-,-,-,-,23,-,-,-,6,MC,-,-,MC,48,7000,125/1,Bet 365,Further details,38
Robby Shelton IV,-,-,-,-,-,19,-,-,MC,MC,4,-,-,-,-,-,-,-,-,-,6,MC,-,MC,6900,90/1,Bet 365,Further details,59
Zac Blair,-,-,-,-,-,52,-,-,MC,42,38,-,-,-,-,23,10,42,55,-,14,-,-,MC,6900,175/1,Bet 365,Further details,MC
Adam Long,-,-,-,-,-,MC,-,-,35,35,-,-,-,-,-,-,-,-,-,-,2,3,22,MC,6900,125/1,Bet 365,Further details,23
Austin Smotherman,-,-,-,-,-,MC,-,-,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6900,150/1,Bet 365,Further details,23
MJ Daffue,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,66,6900,90/1,Bet 365,Further details,38
Stewart Cink,-,16^,-,-,-,MC,7^,-,-,MC,-,-,-,-,-,-,MC,15,MC,-,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Justin Lower,-,-,-,-,-,45,-,-,MC,MC,41,-,-,-,-,-,-,-,-,-,-,-,-,56,6800,150/1,Bet 365,Further details,23
Ben Martin,-,-,-,-,-,MC,-,-,16,MC,-,-,-,-,31,MC,-,42,MC,-,20,-,-,MC,6800,125/1,Bet 365,Further details,MC
Carl Yuan,-,-,-,-,-,68,-,-,6,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,160/1,Bet 365,Further details,MC
Kelly Kraft,-,-,-,-,-,25,-,-,16,23,-,-,-,-,-,-,68,-,-,38,-,52,WD,-,6800,200/1,Bet 365,Further details,71
Marty Dou Zecheng,-,-,-,-,-,MC,-,-,12,MC,-,-,-,-,-,-,-,-,WD,-,-,-,-,MC,6800,150/1,Bet 365,Further details,MC
Ryan Palmer,-,-,-,-,-,MC,-,-,68,MC,-,-,-,-,60,-,-,-,-,-,-,-,27,MC,6800,125/1,Bet 365,Further details,5
Ryo Ishikawa,-,-,16^,19^,11^,6^,-,MC^,-,2^,4,-,-,-,-,-,-,50,-,-,-,-,-,-,6700,225/1,Bet 365,Further details,MC
Carson Young,-,-,-,-,-,19,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,53,6700,140/1,Bet 365,Further details,9
Chez Reavie,-,-,-,-,-,66,-,-,MC,MC,-,-,-,-,-,-,74,4,14,26,26,MC,33,WD,6700,140/1,Bet 365,Further details,72
Jimmy Walker,-,-,-,-,-,30,-,-,43,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6700,200/1,Bet 365,Further details,MC
Patton Kizzire,-,-,-,-,-,56,-,-,MC,46,-,-,-,-,-,-,58,-,1,55,58,32,56,10,6700,160/1,Bet 365,Further details,15
Peter Malnati,-,-,-,-,-,11,-,-,51,MC,-,-,-,-,15,-,10,MC,MC,MC,58,MC,MC,-,6700,150/1,Bet 365,Further details,59
Russell Knox,-,-,-,-,-,30,-,-,28,MC,-,-,-,30,31,37,2,3,9,-,33,23,MC,48,6700,250/1,Bet 365,Further details,69
Kensei Hirata,-,-,24^,28^,9^,33^,26^,23^,39^,8^,6,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,-,-,65,52,-,-,-,-,-,-,-,-,-,-,-,-,56,-,6600,275/1,Bet 365,Further details,WD
Charley Hoffman,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,69,31,1,MC,MC,MC,MC,MC,46,MC,42,6600,200/1,Bet 365,Further details,MC
Harrison Endycott,-,-,-,-,-,MC,-,-,28,56,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6600,300/1,Bet 365,Further details,MC
Kramer Hickok,-,-,-,-,-,MC,-,-,35,MC,-,-,-,-,-,-,-,-,-,29,MC,-,MC,MC,6600,200/1,Bet 365,Further details,15
Ryan Gerard,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,MC
Scott Piercy,-,-,-,-,-,MC,-,-,MC,42,-,-,-,-,WD,16,-,4,-,6,26,40,40,32,6600,200/1,Bet 365,Further details,23
Benjamin Taylor,-,-,-,-,-,30,-,-,73,28,77,-,-,-,-,-,-,-,-,-,MC,65,-,59,6500,300/1,Bet 365,Further details,MC
Brice Garnett,-,-,-,-,-,52,-,-,MC,-,-,-,-,-,MC,6,7,-,25,5,11,32,MC,-,6500,250/1,Bet 365,Further details,MC
Cameron Percy,-,-,-,-,-,MC,-,-,43,-,-,-,-,-,-,MC,-,-,-,-,-,WD,-,-,6500,300/1,Bet 365,Further details,59
Doc Redman,-,-,-,-,-,MC,-,-,56,66,-,-,-,-,-,-,-,-,-,-,MC,-,45,-,6500,200/1,Bet 365,Further details,MC
Isaiah Salinda,MC^,MC^,MC^,-,-,16^,MC^,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,MC
James Hahn,-,-,-,-,-,45,-,-,-,68,-,-,-,-,MC,-,-,-,-,29,58,-,27,MC,6500,275/1,Bet 365,Further details,45
Robert Streb,-,-,-,-,-,MC,-,-,35,MC,-,-,-,-,-,37,-,-,-,MC,14,-,-,42,6500,250/1,Bet 365,Further details,MC
David Lingmerth,-,-,-,-,-,-,-,-,-,-,73,-,-,-,MC,MC,-,-,WD,-,-,-,-,8,6400,250/1,Bet 365,Further details,MC
Jason Dufner,-,-,-,-,-,19,-,-,MC,66,-,-,-,-,-,-,40,-,-,21,-,52,-,MC,6400,350/1,Bet 365,Further details,45
Kevin Tway,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,MC,MC,-,-,71,-,-,-,-,56,MC,6400,300/1,Bet 365,Further details,54
Matthias Schwab,-,-,-,-,-,11,-,-,MC,63,-,-,-,-,-,-,-,-,-,-,-,-,-,21,6400,350/1,Bet 365,Further details,MC
Preston Summerhays,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,MC
Scott Harrington,-,-,-,-,-,30,-,-,35,MC,-,-,-,-,-,-,-,-,-,-,72,MC,-,-,6400,350/1,Bet 365,Further details,MC
Tano Goya,-,-,-,-,-,MC,-,-,MC,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,31
Augusto Nunez,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,300/1,Bet 365,Further details,MC
Austin Cook,-,-,-,-,-,56,-,-,68,MC,-,-,-,-,-,-,-,-,50,-,MC,63,-,27,6300,500/1,Bet 365,Further details,10
Camilo Villegas,MC^,45^,43^,-,-,MC^,37^,-,MC,-,-,-,-,-,36,MC,29,28,50,-,-,32,MC,-,6300,600/1,Bet 365,Further details,2
Harry Higgs,-,-,-,-,-,MC,-,-,68,MC,-,-,-,-,-,-,-,-,-,-,33,MC,-,32,6300,350/1,Bet 365,Further details,MC
Kevin Roy,-,MC^,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,31
Richy Werenski,-,-,-,-,-,66,-,-,65,MC,-,-,-,-,-,-,-,50,41,3,-,-,MC,MC,6300,500/1,Bet 365,Further details,45
Trevor Cone,-,-,-,-,-,MC,-,-,73,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Brent Grant,-,-,-,-,-,MC,-,-,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,400/1,Bet 365,Further details,38
Chris Naegel,16^,16^,18^,-,-,5^,73^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,MC
Jose Cristobal Islas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Kyle Westmoreland,MC^,MC^,MC^,-,-,MC,-,-,56,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,750/1,Bet 365,Further details,MC
Nick Watney,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,MC,-,-,55,-,MC,MC,MC,-,6200,1500/1,Bet 365,Further details,MC
Roberto Diaz,MC^,51^,26^,-,-,MC^,MC^,-,67^,-,-,-,-,-,MC,MC,-,MC,25,MC,MC,MC,45,-,6200,500/1,Bet 365,Further details,45
Ryan Armour,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,MC,-,-,55,21,33,MC,-,21,6200,400/1,Bet 365,Further details,73
Ryan Brehm,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,66,-,-,72,59,-,MC,6200,750/1,Bet 365,Further details,MC
Trevor Werbylo,-,-,-,-,-,MC,-,-,MC,56,68,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,NR
Tyson Alexander,-,-,-,-,-,30,-,-,MC,MC,76,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Andrew Landry,-,-,-,-,-,45,-,-,56,MC,-,-,-,-,-,-,MC,-,WD,MC,MC,-,7,MC,6100,750/1,Bet 365,Further details,MC
Brian Stuard,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,2,71,-,35,9,MC,23,MC,27,-,6100,1000/1,Bet 365,Further details,45
Dylan Frittelli,-,-,-,-,-,MC,-,-,56,MC,-,-,-,-,-,-,-,-,-,-,11,-,MC,59,6100,600/1,Bet 365,Further details,MC
Michael Gligic,-,MC^,-,-,-,MC,-,-,62,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,6100,1000/1,Bet 365,Further details,MC
Paul Haley II,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,1000/1,Bet 365,Further details,67
Peter Knade,50^,MC^,MC^,-,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,MC
Brian Gay,-,12^,30^,-,14^,MC,10^,-,MC,5^,11^,-,-,55,45,-,-,28,25,41,14,-,MC,-,6100,1000/1,Bet 365,Further details,MC
Billy Davis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Chase Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,69
Hunter Epson,30^,MC^,4^,MC^,-,48^,18^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Isidro Benitez,-,MC^,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,6000,1500/1,Bet 365,Further details,65
Jeffrey Kang,-,-,9^,2^,3^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,31
Jim Herman,-,-,-,-,-,MC,-,-,77,WD,-,-,-,-,WD,23,17,MC,MC,MC,80,-,-,MC,6000,1000/1,Bet 365,Further details,MC
Max McGreevy,MC^,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,31
Michael Block,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Sebastian Vazquez,-,11^,-,-,-,-,8^,-,-,-,3^,-,-,-,-,-,-,MC,-,MC,MC,-,-,MC,6000,2000/1,Bet 365,Further details,38
Satoshi Kodaira,-,-,MC^,36^,-,30,-,-,MC,-,12,-,-,-,-,-,-,-,-,-,80,40,-,-,-,TBC,Bet 365,Further details,MC
Aaron Baddeley,-,-,-,-,-,MC,-,-,-,-,21,-,-,-,-,37,46,-,74,-,26,MC,-,MC,-,TBC,Bet 365,Further details,NR
Chris Stroud,-,-,-,-,-,MC,-,-,71,-,-,-,-,5,3,23,MC,72,MC,WD,18,-,-,-,-,TBC,Bet 365,Further details,NR
Cody Gribble,-,-,-,-,-,MC,-,-,43,-,-,-,-,-,-,-,-,15,-,MC,-,-,-,-,-,250/1,Bet 365,Further details,MC
Grayson Murray,64^,MC^,26^,-,-,1^,WD^,-,-,-,-,-,-,-,-,-,-,-,-,WD,-,-,-,-,-,TBC,Bet 365,Further details,NR
Hank Lebioda,MC^,MC^,-,-,-,19,-,-,35,-,-,-,-,-,-,-,-,-,-,-,MC,38,MC,-,-,TBC,Bet 365,Further details,NR
Jonathan Byrd,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Martin Trainer,-,-,-,-,-,30,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,-,TBC,Bet 365,Further details,15
Sean O'Hair,MC^,45^,MC^,-,-,MC,-,-,MC,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Seung-Yul Noh,-,-,-,-,-,MC,-,-,MC,-,-,-,-,16,55,-,40,MC,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR