Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Rory McIlroy,-,-,22,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,MC,-,-,-,-,-,11500,15/2,Bet 365,Further details,66
Scottie Scheffler,-,-,-,-,1,-,-,-,5,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,11400,8/1,Bet 365,Further details,6
Viktor Hovland,-,-,2,-,10,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,38,-,-,13,10200,12/1,Bet 365,Further details,58
Xander Schauffele,-,-,-,-,-,-,-,-,10,-,3,9,-,-,-,-,-,66,-,-,-,-,-,-,10000,14/1,Bet 365,Further details,54
Patrick Cantlay,-,-,-,-,-,-,-,-,12,-,52,56,-,9,-,-,-,48,35,-,11,3,4,-,9700,18/1,Bet 365,Further details,11
Justin Thomas,-,4,-,-,3,-,-,-,-,-,3,-,-,-,MC,-,-,-,-,-,-,-,-,-,9600,22/1,Bet 365,Further details,6
Jordan Spieth,-,-,-,-,6,-,-,-,3,-,-,-,-,22,4,7,21,1,20,45,9,3,2,63,9400,18/1,Bet 365,Further details,39
Max Homa,-,1,-,-,13,-,-,-,14,-,-,13,-,-,MC,29,-,MC,-,10,14,7,-,-,9200,20/1,Bet 365,Further details,66
Collin Morikawa,-,-,-,-,7,-,-,-,5,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,9100,20/1,Bet 365,Further details,14
Ludvig Aberg,10,-,1,-,-,-,-,-,47,30,-,9,-,-,-,-,-,-,-,-,-,-,-,-,9000,28/1,Bet 365,Further details,2
Sam Burns,-,-,-,-,16,-,-,-,33,-,6,-,-,-,-,-,-,-,-,-,-,39,-,-,8900,35/1,Bet 365,Further details,10
Tony Finau,-,-,-,-,4,-,-,-,38,-,25,6,-,-,-,-,-,23,-,38,-,-,-,-,8800,25/1,Bet 365,Further details,47
Cameron Young,54,-,38,-,15,-,-,-,33,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,8700,35/1,Bet 365,Further details,70
Tommy Fleetwood,-,12,2,-,-,-,-,-,47,1,14,-,-,-,-,-,-,-,-,45,-,-,-,-,8600,35/1,Bet 365,Further details,31
Sungjae Im,-,-,-,-,-,-,-,-,5,-,25,MC,-,-,-,-,-,-,-,MC,-,-,-,-,8500,35/1,Bet 365,Further details,66
Jason Day,-,-,-,-,11,-,-,-,10,-,34,MC,-,6,64,4,11,5,2,4,4,7,24,-,8400,35/1,Bet 365,Further details,6
Hideki Matsuyama,-,-,10^,-,-,-,-,-,58,30,-,13,-,-,-,-,-,-,-,-,-,-,-,-,8300,55/1,Bet 365,Further details,71
Matthew Fitzpatrick,-,-,27,-,4,-,-,-,14,MC,-,-,-,-,-,-,-,-,-,MC,60,-,6,MC,8200,33/1,Bet 365,Further details,58
Nicolai Hojgaard,-,2,1,-,-,-,-,-,-,25,7,2,-,-,-,-,-,-,-,-,-,-,-,-,8100,45/1,Bet 365,Further details,31
An Byeong-Hun,-,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,37,8000,50/1,Bet 365,Further details,31
Tom Kim,-,-,15,-,-,-,-,-,45,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,8000,40/1,Bet 365,Further details,31
Sahith Theegala,MC,-,31^,-,-,-,-,-,2,MC,-,64,-,-,-,-,-,-,-,-,-,-,65,-,7900,70/1,Bet 365,Further details,20
JT Poston,-,-,44,-,-,-,-,-,5,6,11,-,-,-,-,-,-,66,68,-,-,-,-,-,7900,55/1,Bet 365,Further details,20
Beau Hossler,15,-,-,-,-,-,-,-,-,-,47,6,-,-,-,-,-,MC,43,MC,38,47,3,11,7800,55/1,Bet 365,Further details,14
Russell Henley,-,-,13,-,-,-,-,-,52,4,-,-,-,-,52,-,MC,-,15,MC,-,-,-,-,7800,50/1,Bet 365,Further details,58
Keegan Bradley,-,-,-,-,13,-,-,-,45,2,-,43,-,-,-,-,-,-,-,-,-,-,-,-,7700,70/1,Bet 365,Further details,11
Corey Conners,-,-,44,-,-,-,-,-,33,57,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,7700,80/1,Bet 365,Further details,31
Adam Scott,-,5,-,6,4,-,-,-,-,-,7,-,-,-,-,-,-,-,MC,61,-,-,-,-,7600,66/1,Bet 365,Further details,20
Brian Harman,-,-,44,-,8,-,-,-,5,18,70,-,-,50,MC,-,-,-,-,-,-,39,65,-,7600,70/1,Bet 365,Further details,54
Justin Rose,-,51,-,-,8,-,-,-,40,57,-,56,-,-,-,-,6,39,-,-,-,-,62,1,7500,70/1,Bet 365,Further details,11
Denny McCarthy,-,-,5,-,-,-,-,-,43,24,-,-,-,-,-,-,-,-,66,-,-,MC,12,4,7500,66/1,Bet 365,Further details,26
Chris Kirk,MC,-,28,-,-,-,-,-,1,18,47,-,-,2,61,MC,-,39,MC,-,MC,16,MC,-,7500,80/1,Bet 365,Further details,26
Rickie Fowler,-,-,-,-,17,-,-,-,56,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,7400,90/1,Bet 365,Further details,47
SiWoo Kim,-,-,71,-,-,-,-,-,25,42,25,-,-,MC,-,-,35,MC,-,4,MC,MC,-,-,7400,80/1,Bet 365,Further details,14
Wyndham Clark,-,-,37^,-,19,-,-,-,29,-,39,-,-,-,-,-,-,-,-,61,18,-,65,-,7400,80/1,Bet 365,Further details,1
Eric Cole,-,-,3,-,-,-,-,-,14,13,21,MC,-,-,-,-,-,-,-,-,-,-,-,15,7300,55/1,Bet 365,Further details,14
Stephan Jaeger,45,-,28,-,-,-,-,-,-,18,52,3,-,-,-,-,-,-,43,MC,-,-,MC,-,7300,100/1,Bet 365,Further details,71
Adam Hadwin,-,-,-,-,-,-,-,-,14,MC,6,-,-,-,-,-,-,39,-,18,MC,-,16,-,7300,100/1,Bet 365,Further details,39
Kevin Yu,MC,30,MC,-,-,-,-,-,-,MC,3,6,-,-,-,-,-,-,-,-,-,-,-,7,7200,80/1,Bet 365,Further details,58
Nick Taylor,-,-,-,-,-,-,-,-,52,7,MC,-,-,-,-,MC,30,10,MC,28,1,39,14,20,7200,75/1,Bet 365,Further details,71
Alexander Noren,-,2,23,-,-,-,-,-,-,42,25,-,-,-,-,-,-,-,-,-,32,MC,-,-,7200,100/1,Bet 365,Further details,26
Keith Mitchell,38,-,MC,-,-,-,-,-,-,30,9,MC,-,-,-,-,-,-,47,MC,32,MC,12,4,7100,80/1,Bet 365,Further details,54
Matthieu Pavon,-,15,5,-,-,-,MC,-,-,7,39,1,-,-,-,-,-,-,-,-,-,-,-,-,7100,90/1,Bet 365,Further details,3
Harris English,-,-,28,-,-,-,-,-,14,10,-,64,-,MC,-,-,-,-,-,-,-,-,-,-,7100,100/1,Bet 365,Further details,76
Brendon Todd,-,20,28,-,-,-,-,-,33,30,-,-,-,MC,45,10,MC,MC,-,MC,-,-,16,2,7000,100/1,Bet 365,Further details,58
Sepp Straka,-,-,22,-,2,-,-,-,12,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,-,7000,90/1,Bet 365,Further details,26
Erik Van Rooyen,1,-,-,-,-,32,-,-,22,52,25,-,-,-,-,-,-,-,-,-,-,-,-,MC,7000,150/1,Bet 365,Further details,20
Patrick Rodgers,-,-,-,-,16,-,-,-,14,24,-,9,-,-,-,-,-,-,8,MC,MC,MC,MC,-,6900,110/1,Bet 365,Further details,79
Nick Dunlap,-,MC,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,90/1,Bet 365,Further details,80
Christiaan Bezuidenhout,-,-,-,9,17,3,-,-,-,-,2,MC,-,-,-,-,-,-,-,-,-,-,14,-,6900,100/1,Bet 365,Further details,20
Taylor Montgomery,31,-,8,-,-,-,-,-,-,13,61,13,-,-,-,-,-,-,-,-,-,-,-,-,6800,100/1,Bet 365,Further details,39
Emiliano Grillo,MC,-,-,-,-,-,-,-,43,7,-,20,-,-,-,-,-,-,-,-,-,-,-,-,6800,150/1,Bet 365,Further details,14
Andrew Putnam,5,-,-,-,-,-,-,-,40,10,47,-,-,-,-,MC,-,-,MC,38,-,55,6,MC,6800,110/1,Bet 365,Further details,39
Adam Schenk,-,-,19,-,-,-,-,-,29,-,MC,25,-,-,-,-,-,-,MC,45,50,MC,-,37,6700,150/1,Bet 365,Further details,47
Tom Hoge,-,-,-,-,-,-,-,-,38,MC,17,56,-,-,-,MC,41,39,MC,MC,60,12,1,48,6700,110/1,Bet 365,Further details,6
Cameron Davis,-,-,-,7,42,-,-,-,52,30,MC,-,-,-,-,-,-,-,MC,59,38,14,-,-,6700,80/1,Bet 365,Further details,20
Kurt Kitayama,-,-,-,-,-,-,-,-,29,24,-,-,-,-,-,-,-,-,-,-,18,-,MC,29,6600,150/1,Bet 365,Further details,39
Thomas Detry,38,MC,28,-,-,-,-,-,-,-,MC,20,-,-,-,-,-,-,-,-,-,-,-,37,6600,125/1,Bet 365,Further details,4
Adam Svensson,45,-,5,-,-,-,-,-,33,30,-,MC,-,-,-,-,-,-,-,MC,-,-,49,-,6600,125/1,Bet 365,Further details,47
Luke List,45,20,19,-,-,-,-,-,22,66,-,50,-,MC,-,-,MC,-,-,-,-,-,-,-,6500,125/1,Bet 365,Further details,26
Grayson Murray,-,-,MC,-,-,-,-,-,-,1,MC,-,-,-,-,-,-,MC,8,MC,-,MC,65,MC,6500,275/1,Bet 365,Further details,66
Lucas Glover,59,45,-,-,12,-,-,-,29,MC,-,-,-,-,MC,-,11,-,-,7,50,-,MC,MC,6500,125/1,Bet 365,Further details,58
Taylor Moore,-,-,-,-,-,-,-,-,25,-,-,70,-,-,-,-,-,-,-,-,-,-,16,15,6400,175/1,Bet 365,Further details,47
Mackenzie Hughes,7,-,2,-,-,-,-,-,25,-,-,64,-,-,-,-,-,10,MC,MC,MC,-,16,-,6400,150/1,Bet 365,Further details,71
Benjamin Griffin,23,37,8,-,-,-,-,-,-,30,9,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6400,175/1,Bet 365,Further details,58
Brandon Wu,54,30,58,-,-,-,-,-,-,18,MC,-,-,-,-,-,-,-,-,-,38,-,MC,2,6300,200/1,Bet 365,Further details,47
Mark Hubbard,MC,20,MC,-,-,-,-,-,-,57,47,20,-,-,-,MC,26,62,-,-,MC,55,33,20,6300,225/1,Bet 365,Further details,4
Nick Hardy,23,45,23,-,MC,-,-,-,47,42,-,37,-,-,-,-,-,-,-,-,-,-,MC,41,6300,250/1,Bet 365,Further details,47
Alex Smalley,-,30,44,-,-,-,-,-,-,MC,21,MC,-,-,-,-,-,-,-,-,-,-,MC,65,6200,175/1,Bet 365,Further details,75
J.J Spaun,67,-,13,-,-,-,-,-,-,MC,-,MC,-,-,-,-,-,MC,-,MC,MC,MC,16,-,6200,200/1,Bet 365,Further details,54
Matt Kuchar,2,-,53,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,MC,62,22,38,-,MC,MC,6200,175/1,Bet 365,Further details,39
Maverick McNealy,MC,-,58,-,-,-,-,-,-,57,MC,37,-,-,-,-,-,-,MC,-,5,2,33,WD,6200,150/1,Bet 365,Further details,39
Seonghyeon Kim,-,-,-,-,-,-,-,-,-,30,MC,50,-,-,-,-,-,-,-,-,-,-,-,41,6100,250/1,Bet 365,Further details,31
Webb Simpson,-,-,MC,-,-,-,-,-,-,66,-,-,-,26,-,-,-,MC,-,-,-,-,-,MC,6100,350/1,Bet 365,Further details,39
Davis Riley,MC,45,-,-,-,-,-,-,52,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,49,MC,6100,450/1,Bet 365,Further details,78
Peter Malnati,59,37,MC,-,-,-,-,-,-,MC,MC,MC,-,-,MC,-,66,MC,35,MC,11,MC,42,4,6000,750/1,Bet 365,Further details,14
Seamus Power,-,-,-,-,-,-,-,-,50,74,-,MC,-,-,-,-,-,39,MC,-,38,MC,9,15,6000,300/1,Bet 365,Further details,31
Lee Hodges,-,-,-,-,-,-,-,-,57,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6000,450/1,Bet 365,Further details,58
Sam Ryder,10,-,13,-,-,-,-,-,-,-,62,MC,-,-,-,-,-,-,68,-,-,MC,-,-,6000,300/1,Bet 365,Further details,31
Matthew NeSmith,-,-,28,-,-,-,-,-,-,80,56,MC,-,-,-,-,-,-,-,-,11,16,65,55,-,TBC,Bet 365,Further details,NR
Aaron Rai,-,10,-,-,-,-,-,-,-,57,MC,33,-,-,-,-,-,-,-,-,-,-,65,-,-,TBC,Bet 365,Further details,NR
Justin Suh,4,-,64,-,-,-,-,-,-,MC,MC,77,-,-,-,-,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Hayden Buckley,59,-,MC,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,49,-,-,500/1,Bet 365,Further details,77