,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Brooks Koepka,21,70.13,11,1,6,13,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,7600,40/1,Bet 365,Further details,2
Scottie Scheffler,12,70.30,-,27,-,-,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,11100,7/1,Bet 365,Further details,10
Rory McIlroy,23,70.48,7,MC,4,22,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,10600,7/1,Bet 365,Further details,MC
Dustin Johnson,22,70.49,-,MC,54,13,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,8800,25/1,Bet 365,Further details,48
Collin Morikawa,12,70.52,-,-,-,-,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,9100,25/1,Bet 365,Further details,10
Xander Schauffele,22,70.60,-,5,20,MC,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,9000,22/1,Bet 365,Further details,10
Jon Rahm,23,70.71,27,MC,44,58,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,10800,9/1,Bet 365,Further details,1
Will Zalatoris,10,70.76,-,-,-,-,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,8200,40/1,Bet 365,Further details,WD
Jordan Spieth,23,70.79,11,35,1,28,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,9700,16/1,Bet 365,Further details,4
Tony Finau,21,70.83,-,-,27,44,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,8900,22/1,Bet 365,Further details,26
Hideki Matsuyama,22,70.86,11,2,14,5,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,8400,40/1,Bet 365,Further details,16
Justin Thomas,22,70.86,22,9,MC,1,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,9300,20/1,Bet 365,Further details,MC
Viktor Hovland,12,71.02,-,-,-,-,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,8500,35/1,Bet 365,Further details,7
Justin Rose,22,71.03,2,MC,54,MC,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,7800,55/1,Bet 365,Further details,16
Tommy Fleetwood,23,71.11,MC,4,27,61,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,7700,50/1,Bet 365,Further details,33
Patrick Reed,23,71.12,MC,13,MC,2,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,7300,66/1,Bet 365,Further details,4
Louis Oosthuizen,22,71.15,41,23,MC,2,12,16,28,-,29,60,7,20,33,3,23,26,2,2,3,WD,60,MC,MC,7200,100/1,Bet 365,Further details,WD
Chris Kirk,6,71.33,-,-,-,MC,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,7100,150/1,Bet 365,Further details,23
Francesco Molinari,20,71.37,33,MC,MC,2,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,6600,225/1,Bet 365,Further details,MC
MinWoo Lee,5,71.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,7600,55/1,Bet 365,Further details,MC
Patrick Cantlay,20,71.40,-,-,-,33,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,9500,18/1,Bet 365,Further details,14
Seamus Power,4,71.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,12,MC,6800,140/1,Bet 365,Further details,46
Shane Lowry,22,71.49,MC,46,MC,48,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,7900,50/1,Bet 365,Further details,16
Cameron Young,6,71.50,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,8600,28/1,Bet 365,Further details,7
Matthew Fitzpatrick,23,71.51,32,35,44,MC,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,8000,45/1,Bet 365,Further details,10
Jason Day,19,71.53,22,MC,27,9,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,8700,25/1,Bet 365,Further details,39
Cameron Smith,21,71.54,-,-,MC,MC,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,9800,22/1,Bet 365,Further details,34
Keith Mitchell,8,71.59,-,-,-,-,-,-,-,-,43,MC,MC,MC,43,-,-,-,-,-,MC,-,34,-,MC,7100,110/1,Bet 365,Further details,53
Adam Scott,23,71.60,9,MC,22,61,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,7500,90/1,Bet 365,Further details,39
Abraham Ancer,14,71.65,-,-,-,-,-,-,MC,-,-,16,49,MC,43,56,13,26,8,MC,59,MC,9,-,11,7400,110/1,Bet 365,Further details,39
Tiger Woods,14,71.69,-,-,-,-,32,MC,6,2,1,MC,21,MC,37,MC,38,-,-,-,-,47,WD,-,MC,7300,75/1,Bet 365,Further details,WD
Brian Harman,19,71.72,-,2,MC,13,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,6700,200/1,Bet 365,Further details,MC
Bryson DeChambeau,21,71.78,-,MC,MC,33,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,7500,110/1,Bet 365,Further details,MC
Talor Gooch,8,71.79,-,66,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,44,-,33,14,20,MC,34,6800,150/1,Bet 365,Further details,34
Guillermo Mito Pereira,4,71.80,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,3,MC,MC,7200,100/1,Bet 365,Further details,43
Harold Varner III,9,71.80,-,-,-,-,-,MC,-,-,-,36,-,-,29,-,-,-,49,-,MC,23,48,MC,28,6500,200/1,Bet 365,Further details,29
Corey Conners,15,71.80,-,MC,-,-,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,7600,45/1,Bet 365,Further details,MC
Sam Burns,8,71.82,-,-,-,-,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,8300,35/1,Bet 365,Further details,29
Harris English,10,71.84,-,46,-,-,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,6700,250/1,Bet 365,Further details,43
Russell Henley,16,71.88,11,27,37,71,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,7000,150/1,Bet 365,Further details,4
Gary Woodland,23,71.95,MC,50,70,22,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,6700,200/1,Bet 365,Further details,14
Jason Kokrak,17,71.95,-,53,-,33,-,-,MC,19,-,23,-,32,MC,17,MC,49,49,MC,26,14,60,MC,42,6500,200/1,Bet 365,Further details,MC
Kevin Kisner,23,72.01,43,58,54,7,28,MC,2,12,21,MC,49,30,19,MC,MC,MC,MC,55,73,44,MC,MC,21,6200,350/1,Bet 365,Further details,MC
Sungjae Im,13,72.13,-,-,-,-,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,8100,33/1,Bet 365,Further details,16
Charl Schwartzel,16,72.15,3,MC,62,48,MC,MC,MC,42,MC,-,-,-,58,-,25,26,MC,19,-,10,60,-,-,6400,250/1,Bet 365,Further details,50
Adrian Meronk,2,72.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,6400,250/1,Bet 365,Further details,MC
Ryan Fox,13,72.18,-,-,MC,54,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,6700,175/1,Bet 365,Further details,26
Keegan Bradley,16,72.22,-,60,-,33,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,7400,110/1,Bet 365,Further details,23
Joaquin Niemann,15,72.24,-,MC,-,-,MC,-,-,71,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,7800,70/1,Bet 365,Further details,16
Kevin Na,19,72.25,MC,32,44,MC,-,-,51,19,46,MC,MC,-,MC,MC,13,12,MC,MC,-,14,23,MC,MC,6500,250/1,Bet 365,Further details,WD
Tom Kim,4,72.25,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,23,47,7700,80/1,Bet 365,Further details,16
Tyrrell Hatton,23,72.28,MC,MC,MC,MC,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,7900,55/1,Bet 365,Further details,34
Tom Hoge,8,72.29,-,-,-,-,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,6900,100/1,Bet 365,Further details,MC
Zach Johnson,21,72.29,MC,27,14,48,36,12,17,19,58,54,58,MC,MC,8,51,MC,MC,MC,-,MC,MC,-,MC,6300,500/1,Bet 365,Further details,34
Alexander Noren,18,72.32,MC,MC,6,67,MC,25,17,MC,62,54,MC,11,22,17,-,-,55,-,MC,-,MC,MC,-,6800,200/1,Bet 365,Further details,MC
Billy Horschel,20,72.37,-,MC,MC,48,MC,-,-,35,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,7000,175/1,Bet 365,Further details,52
Thomas Pieters,16,72.42,4,MC,44,MC,MC,-,28,6,-,23,MC,67,-,23,-,-,MC,-,-,MC,71,27,28,6900,150/1,Bet 365,Further details,48
Danny Willett,20,72.44,MC,WD,76,MC,MC,MC,24,MC,MC,41,12,6,MC,MC,25,MC,64,-,33,12,-,-,53,6600,125/1,Bet 365,Further details,MC
Kurt Kitayama,8,72.45,-,-,-,-,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,7100,125/1,Bet 365,Further details,MC
Cameron Champ,10,72.47,-,32,-,-,-,-,-,-,-,54,-,-,10,MC,19,26,MC,MC,-,10,MC,-,-,6600,250/1,Bet 365,Further details,MC
Sam Bennett,1,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,6200,1250/1,Bet 365,Further details,16
Sergio Garcia,22,72.50,1,21,37,MC,MC,MC,MC,MC,MC,MC,52,67,MC,MC,-,MC,MC,19,19,23,MC,MC,68,7000,125/1,Bet 365,Further details,MC
Bubba Watson,20,72.61,MC,MC,27,MC,5,MC,MC,MC,12,MC,MC,51,71,31,57,26,80,50,-,39,30,-,-,6900,225/1,Bet 365,Further details,MC
Siwoo Kim,21,72.66,MC,13,MC,WD,24,MC,67,MC,21,MC,MC,MC,-,MC,34,12,MC,40,-,39,60,MC,15,7400,90/1,Bet 365,Further details,29
Sahith Theegala,3,72.75,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,7500,80/1,Bet 365,Further details,9
Phil Mickelson,20,72.86,22,-,MC,MC,36,48,24,MC,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,6400,200/1,Bet 365,Further details,2
Sepp Straka,6,72.95,-,-,-,-,-,-,-,-,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,6300,300/1,Bet 365,Further details,46
Max Homa,12,72.97,-,-,-,-,-,-,-,-,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,9200,30/1,Bet 365,Further details,43
Mackenzie Hughes,13,72.97,MC,-,-,MC,-,MC,-,-,-,-,-,-,58,MC,-,40,MC,15,6,50,MC,24,MC,6300,300/1,Bet 365,Further details,29
Bernhard Langer,7,73.23,MC,-,-,-,38,-,24,-,62,-,-,-,-,-,29,MC,-,-,-,MC,-,-,-,6100,1000/1,Bet 365,Further details,MC
JT Poston,8,73.45,-,MC,-,-,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,6600,225/1,Bet 365,Further details,34
KyoungHoon Lee,7,73.72,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,-,MC,41,37,MC,6400,300/1,Bet 365,Further details,23
Fred Couples,6,74.38,18,-,-,-,38,-,-,-,MC,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,6000,1000/1,Bet 365,Further details,50
Kazuki Higa,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,500/1,Bet 365,Further details,MC
Scott Stallings,3,74.67,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6300,350/1,Bet 365,Further details,26
Mike Weir,7,74.69,MC,-,-,-,MC,-,-,-,MC,-,MC,-,-,-,51,MC,-,-,-,MC,-,-,-,6000,2000/1,Bet 365,Further details,MC
Vijay Singh,8,74.90,MC,-,-,66,49,-,-,78,MC,-,-,-,-,-,WD,MC,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,Further details,MC
Aldrich Potgieter,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,2000/1,Bet 365,Further details,MC
Sandy Lyle,8,76.69,MC,-,MC,-,MC,-,MC,-,MC,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,Further details,MC
Jose Maria Olazabal,6,76.79,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,MC,50,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,Further details,MC
Larry Mize,6,76.93,52,-,-,-,MC,-,-,-,MC,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,6100,2500/1,Bet 365,Further details,MC
Adam Svensson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Ben Carr,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Gordon Sargent,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,400/1,Bet 365,Further details,MC
Harrison Crowe,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2000/1,Bet 365,Further details,MC
Mateo Fernandez de Oliveira,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Matthew McClean,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Taylor Moore,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,200/1,Bet 365,Further details,39