player_name,SG-OTT,SG-APP,SG-ATG,SG-P,SG-TOT,sg_composite_fit_score
Aaron Rai,0.125,0.455,0.03,-0.63,0.515,0.21700000000000003
Adam Hadwin,0.17666666666666667,0.14666666666666667,0.0033333333333333335,0.32,0.27666666666666667,0.1846666666666667
Adam Schenk,0.0,0.11,0.0,0.74,0.13,0.133
Adam Scott,0.23750000000000002,0.4175,0.15000000000000002,0.24000000000000002,1.045,0.4445
Adam Svensson,0.57,0.0,0.32,0.64,0.78,0.42300000000000004
Akshay Bhatia,0.225,0.28,0.22,-0.09000000000000002,0.485,0.2615
Alex Noren,0.0,0.0,0.0,0.57,0.0,0.056999999999999995
Alex Smalley,0.55,0.07,0.31,-1.84,0.0,0.032999999999999974
Andrew Novak,0.0,0.0,0.3,0.52,0.0,0.082
Andrew Putnam,0.0,0.24,0.0,0.76,0.0,0.14800000000000002
Austin Eckroat,0.08333333333333333,0.49666666666666665,0.24333333333333332,-0.45999999999999996,0.0,0.15233333333333332
Beau Hossler,0.0,0.13,0.0,0.39,0.86,0.25
Ben Griffin,0.485,0.0,0.77,0.295,0.8550000000000001,0.42300000000000004
Billy Horschel,0.17,0.3375,0.1325,-0.0225,0.6125,0.28575
Brendon Todd,0.0,0.0,0.83,2.03,1.57,0.6000000000000001
Brian Harman,0.07333333333333333,0.08666666666666667,0.35000000000000003,0.46,0.21,0.171
Byeong Hun An,0.37666666666666665,0.2333333333333333,0.21666666666666665,-0.7600000000000001,0.22999999999999998,0.17466666666666664
Cam Davis,0.18666666666666668,0.3433333333333333,0.0,-0.14,0.04666666666666667,0.15433333333333332
Cameron Young,0.5866666666666668,0.17333333333333334,0.27,-0.2366666666666667,0.5099999999999999,0.3333333333333333
Chris Kirk,0.085,0.13,0.62,-0.57,0.6,0.1895
Christiaan Bezuidenhout,0.0,0.49,0.445,0.235,0.74,0.363
Collin Morikawa,0.2675,1.3525,0.0,-1.085,0.535,0.48450000000000004
Corey Conners,0.36999999999999994,0.8799999999999999,0.18333333333333335,-0.5133333333333333,0.9966666666666667,0.5413333333333332
Daniel Berger,0.25,0.085,0.01,-0.18,0.07,0.0975
Davis Thompson,0.34,0.0,0.0,-0.27499999999999997,0.105,0.09550000000000002
Denny McCarthy,0.03666666666666667,0.0,0.03,0.35666666666666663,0.0,0.049666666666666665
Emiliano Grillo,0.07,0.68,0.0,0.2,0.95,0.435
Eric Cole,0.0,0.24,0.47,-0.32,0.0,0.087
Gary Woodland,0.73,0.53,0.0,-0.11,1.105,0.588
Grayson Murray,0.16,0.07,0.64,-0.6,0.28,0.129
Harris English,0.0,0.4133333333333334,0.17666666666666667,0.5633333333333334,0.8466666666666667,0.3673333333333334
Hideki Matsuyama,0.24999999999999997,0.595,0.295,-0.1875,0.9624999999999999,0.45674999999999993
J.J. Spaun,0.06,0.03,0.0,0.265,0.11,0.0755
J.T. Poston,0.03333333333333333,0.006666666666666667,0.02,0.16666666666666666,0.0033333333333333335,0.03133333333333334
Jake Knapp,0.25,0.64,0.35,0.9,1.57,0.7060000000000001
Jason Day,0.56,0.0,0.4833333333333334,0.5733333333333334,1.5999999999999999,0.5936666666666667
Jhonattan Vegas,0.09,0.1,0.0,0.58,0.77,0.269
Jordan Spieth,0.29,0.16,0.375,-0.08499999999999999,0.18,0.2
Justin Rose,0.27666666666666667,0.6733333333333333,0.16,0.18333333333333335,1.5333333333333332,0.6259999999999999
Justin Thomas,0.45,0.5650000000000001,0.22000000000000003,0.2225,1.4975,0.64825
Keegan Bradley,0.295,0.35,0.14,0.012500000000000006,0.8025,0.36925
Kevin Tway,0.0,0.0,0.0,0.28,0.0,0.028000000000000004
Kevin Yu,0.28,0.3,0.0,-0.16,0.42,0.242
Kurt Kitayama,0.0,0.0,0.0,-0.68,0.0,-0.068
Lee Hodges,0.03,0.0,0.0,1.31,0.0,0.14
Lucas Glover,0.2333333333333333,0.42333333333333334,0.20333333333333334,-0.3033333333333333,0.4366666666666667,0.2743333333333334
Ludvig Aberg,0.41000000000000003,0.44,0.0,0.245,0.9349999999999999,0.4665
Mackenzie Hughes,0.0,0.16333333333333333,0.19000000000000003,-0.03333333333333335,0.13333333333333333,0.09133333333333334
Mark Hubbard,0.0,1.17,0.0,-0.5,0.0,0.301
Matt Fitzpatrick,0.4166666666666667,0.10333333333333333,0.13333333333333333,0.20999999999999996,0.59,0.30833333333333335
Matt Kuchar,0.0,0.0,1.44,0.96,1.86,0.6120000000000001
Matthieu Pavon,0.11,0.435,0.0,1.02,0.78,0.42150000000000004
Maverick McNealy,0.065,0.0,0.115,0.155,0.38,0.12250000000000001
Max Greyserman,0.0,0.08,0.18,-0.04,0.0,0.03799999999999999
Max Homa,0.27666666666666667,0.7166666666666667,0.12666666666666668,0.5466666666666667,1.54,0.6733333333333333
Michael Kim,0.055,0.14,0.01,0.6799999999999999,0.5449999999999999,0.2365
Min Woo Lee,0.36,0.125,0.0,-0.5800000000000001,0.25,0.13749999999999998
Nick Dunlap,0.0,0.0,0.0,0.56,0.0,0.05600000000000001
Nick Taylor,0.08333333333333333,0.11666666666666665,0.06999999999999999,-0.25,0.043333333333333335,0.05066666666666667
Nico Echavarria,0.0,0.96,0.0,-0.59,0.0,0.22899999999999998
Patrick Cantlay,0.5575,0.1875,0.1875,-0.15,0.72,0.37124999999999997
Patrick Rodgers,0.11,0.0,0.09666666666666668,0.4366666666666667,0.2833333333333333,0.14300000000000002
Peter Malnati,0.0,0.0,0.18,0.77,0.2,0.135
Rickie Fowler,0.5549999999999999,0.11000000000000001,0.27,0.23,1.2,0.48949999999999994
Robert MacIntyre,0.145,0.365,0.16,-0.17000000000000004,0.295,0.21099999999999997
Rory McIlroy,0.835,0.5700000000000001,0.33499999999999996,0.195,2.0700000000000003,0.8885000000000001
Russell Henley,0.1175,0.72,0.25,-0.024999999999999994,1.0225,0.47825
Sahith Theegala,0.1925,0.1625,0.0,0.175,0.4125,0.20650000000000002
Sam Burns,0.17,0.1125,0.02,0.435,0.1525,0.16075
Sam Stevens,0.46,0.25,0.7,0.47,1.65,0.66
Scottie Scheffler,0.44333333333333336,0.7333333333333334,0.38000000000000006,-0.06000000000000002,1.4033333333333333,0.6656666666666666
Seamus Power,0.20500000000000002,0.165,0.4,-0.08000000000000002,0.665,0.276
Sepp Straka,0.22,0.245,0.0825,0.265,0.2875,0.23175
Shane Lowry,0.33,0.19000000000000003,0.13999999999999999,-0.16666666666666666,0.23666666666666666,0.20066666666666672
Si woo Kim,0.36000000000000004,0.013333333333333334,0.27999999999999997,-0.9066666666666667,0.22666666666666668,0.09466666666666668
Stephan Jaeger,0.016666666666666666,0.02333333333333333,0.24333333333333337,-0.38000000000000006,0.13666666666666666,0.02566666666666667
Sungjae Im,0.21250000000000002,0.14250000000000002,0.2275,0.5,1.025,0.38425
Taylor Moore,0.4666666666666666,0.14666666666666667,0.13,0.18333333333333335,0.5433333333333333,0.324
Taylor Pendrith,0.33666666666666667,0.06333333333333334,0.28,-0.7766666666666667,0.38999999999999996,0.14833333333333332
Thomas Detry,0.065,0.0,0.495,0.36,1.085,0.322
Tom Hoge,0.03,0.5599999999999999,0.030000000000000002,0.14250000000000002,0.6375,0.32175
Tom Kim,0.37,0.575,0.39,-0.605,0.685,0.399
Tommy Fleetwood,0.25,0.1425,0.27,0.195,0.6575,0.29575
Tony Finau,0.2725,0.4925,0.1325,-0.019999999999999993,0.845,0.40975
Viktor Hovland,0.675,0.8125,0.0075,0.19,1.32,0.73
Webb Simpson,0.03,0.45,0.43,-0.21,0.71,0.30800000000000005
Will Zalatoris,0.4533333333333333,0.5,0.22666666666666668,-0.46,0.8933333333333332,0.4413333333333333
Wyndham Clark,0.225,0.3125,0.2875,0.425,0.985,0.4295
Xander Schauffele,0.26333333333333336,0.26666666666666666,0.25,0.49666666666666665,1.2033333333333334,0.4743333333333334
